No;Ruang;Kapasitas;Peserta;Kode MK;Kurikulum;Nama MK;Nama Kelas;Dosen;Waktu;Hari;Jam;Jam Masuk;Jam Keluar;Program Studi
391;A7.14 (Ged Baru);40;32;CSCM601150;02.00.12.01-2024;Pengantar Sistem Digital;IDS;Dr. Ir. Erdefi Rakun, M.Sc.;Selasa, 13:00 - 14:40;Selasa;13:00 - 14:40;13:00;14:40;S1 Kls Internasional - Ilmu Komputer
392;A7.14 (Ged Baru);40;32;CSGE601012;02.00.12.01-2024;Kalkulus 1;Calculus 1;Aruni Yasmin Azizah, S.Kom., M.Comp.Sc;Selasa, 16:00 - 16:50;Selasa;16:00 - 16:50;16:00;16:50;S1 Kls Internasional - Ilmu Komputer
393;A7.14 (Ged Baru);40;32;CSGE601012;02.00.12.01-2024;Kalkulus 1;Calculus 1;Aruni Yasmin Azizah, S.Kom., M.Comp.Sc;Rabu, 09:00 - 09:50;Rabu;09:00 - 09:50;09:00;09:50;S1 Kls Internasional - Ilmu Komputer
394;A7.14 (Ged Baru);40;32;CSGE601020;02.00.12.01-2024;Dasar-Dasar Pemrograman 1;Prog Found 1;Drs. Lim Yohanes Stefanus, M.Math, Ph.D.;Rabu, 10:00 - 11:40;Rabu;10:00 - 11:40;10:00;11:40;S1 Kls Internasional - Ilmu Komputer
395;A7.14 (Ged Baru);40;32;CSGE602012;02.00.12.01-2024;Aljabar Linier;Linear Algebra;Dr. Dina Chahyati, S.Kom., M.Kom.;Kamis, 08:00 - 08:50;Kamis;08:00 - 08:50;08:00;08:50;S1 Kls Internasional - Ilmu Komputer
396;A7.14 (Ged Baru);40;32;CSGE601010;02.00.12.01-2024;Matematika Diskret 1;Discrete Math 1;Ari Saptawijaya, S.Kom., M.Sc., Ph.D.;Kamis, 09:00 - 09:50;Kamis;09:00 - 09:50;09:00;09:50;S1 Kls Internasional - Ilmu Komputer
397;A7.14 (Ged Baru);40;32;CSCM601150;02.00.12.01-2024;Pengantar Sistem Digital;IDS;Dr. Ir. Erdefi Rakun, M.Sc.;Kamis, 10:00 - 11:40;Kamis;10:00 - 11:40;10:00;11:40;S1 Kls Internasional - Ilmu Komputer
398;A7.14 (Ged Baru);40;32;CSGE602012;02.00.12.01-2024;Aljabar Linier;Linear Algebra;Dr. Dina Chahyati, S.Kom., M.Kom.;Kamis, 13:00 - 13:50;Kamis;13:00 - 13:50;13:00;13:50;S1 Kls Internasional - Ilmu Komputer
399;A7.14 (Ged Baru);40;32;CSGE601010;02.00.12.01-2024;Matematika Diskret 1;Discrete Math 1;Ari Saptawijaya, S.Kom., M.Sc., Ph.D.;Jumat, 08:00 - 08:50;Jumat;08:00 - 08:50;08:00;08:50;S1 Kls Internasional - Ilmu Komputer
400;A7.14 (Ged Baru);40;32;CSGE601020;02.00.12.01-2024;Dasar-Dasar Pemrograman 1;Prog Found 1;Drs. Lim Yohanes Stefanus, M.Math, Ph.D.;Jumat, 15:00 - 16:40;Jumat;15:00 - 16:40;15:00;16:40;S1 Kls Internasional - Ilmu Komputer
401;A7.15 (Ged Baru);40;8;CSCM602241;02.00.12.01-2024;Teori Bahasa & Automata;Automata;Ir. Suryana Setiawan, M.Sc., Ph.D.;Senin, 10:00 - 11:40;Senin;10:00 - 11:40;10:00;11:40;S1 Kls Internasional - Ilmu Komputer
