No;Ruang;Kapasitas;Peserta;Kode MK;Kurikulum;Nama MK;Nama Kelas;Dosen;Waktu;Hari;Jam;Jam Masuk;Jam Keluar;Program Studi
433;Lab A1.01+Lab A1.02 - Gabungan (Gd Baru);80;60;CSGE601020;06.00.12.01-2024;Dasar-Dasar Pemrograman 1;DDP 1 G;Alfan Farizki Wicaksono, S.T., M.Sc., Ph.D.;Kamis, 15:00 - 16:40;Kamis;15:00 - 16:40;15:00;16:40;S1 - Sistem Informasi
434;Lab A1.01+Lab A1.02 - Gabungan (Gd Baru);80;64;CSCM601150;01.00.12.01-2024;Pengantar Sistem Digital;PSD B;Dr. Ir. Erdefi Rakun, M.Sc.;Jumat, 10:00 - 11:00;Jumat;10:00 - 11:00;10:00;11:00;S1 - Ilmu Komputer
435;Lab A1.01+Lab A1.02 - Gabungan (Gd Baru);80;64;CSCM601150;01.00.12.01-2024;Pengantar Sistem Digital;PSD B;Arawinda Dinakaramani, S.Kom., M.Hum.;Jumat, 10:00 - 11:00;Jumat;10:00 - 11:00;10:00;11:00;S1 - Ilmu Komputer
436;Lab A1.01+Lab A1.02 - Gabungan (Gd Baru);80;46;CSGE602040;01.00.12.01-2024;Struktur Data & Algoritma;SDA A;APRINALDI, S.Kom., M.Kom., Ph.D.;Jumat, 14:00 - 15:40;Jumat;14:00 - 15:40;14:00;15:40;S1 - Ilmu Komputer
437;Lab A1.01+Lab A1.02 - Gabungan (Gd Baru);80;10;CSGE601021;01.00.12.01-2024;Dasar-Dasar Pemrograman 2;DDP 2 A;Dr. Ade Azurat, S.Kom.;Jumat, 16:00 - 17:40;Jumat;16:00 - 17:40;16:00;17:40;S1 - Ilmu Komputer
438;Lab A1.03 (Ged Baru);70;18;CSIM603026;06.00.12.01-2024;Arsitektur & Pemrograman Aplikasi Perush.;APAP B;Satrio Baskoro Yudhoatmojo, S.Kom., M.T.I., Ph.D.;Senin, 08:00 - 09:40;Senin;08:00 - 09:40;08:00;09:40;S1 - Sistem Informasi
439;Lab A1.03 (Ged Baru);70;32;CSGE601020;02.00.12.01-2024;Dasar-Dasar Pemrograman 1;Prog Found 1;Drs. Lim Yohanes Stefanus, M.Math, Ph.D.;Senin, 10:00 - 11:40;Senin;10:00 - 11:40;10:00;11:40;S1 Kls Internasional - Ilmu Komputer
440;Lab A1.03 (Ged Baru);70;44;CSGE602070;01.00.12.01-2024;Basis Data;Basis Data B;Ilma Alpha Mannix, M.Kom.;Selasa, 13:00 - 13:50;Selasa;13:00 - 13:50;13:00;13:50;S1 - Ilmu Komputer
441;Lab A1.03 (Ged Baru);70;13;CSCM603142;01.00.12.01-2024;Desain & Analisis Algoritma;DAA B;Dr. Drs. R. Yugo Kartono Isal, M.Sc.;Selasa, 16:00 - 17:40;Selasa;16:00 - 17:40;16:00;17:40;S1 - Ilmu Komputer
442;Lab A1.03 (Ged Baru);70;21;CSCM603154;01.00.12.01-2024;Jaringan Komputer;JarKom A;Dr. Ari Wibisono, S.Kom., M.Kom.;Rabu, 08:00 - 09:40;Rabu;08:00 - 09:40;08:00;09:40;S1 - Ilmu Komputer
443;Lab A1.03 (Ged Baru);70;21;CSCM603154;01.00.12.01-2024;Jaringan Komputer;JarKom A;Dr. Rizal Fathoni Aji, S.Kom., M.Kom.;Rabu, 08:00 - 09:40;Rabu;08:00 - 09:40;08:00;09:40;S1 - Ilmu Komputer
444;Lab A1.03 (Ged Baru);70;21;CSGE602022;01.00.12.01-2024;Pemrograman Berbasis Platform;PBP A;Jessica Naraiswari Arwidarasti, S.Kom., M.Kom.;Rabu, 16:00 - 17:40;Rabu;16:00 - 17:40;16:00;17:40;S1 - Ilmu Komputer
445;Lab A1.03 (Ged Baru);70;47;CSGE601020;06.00.12.01-2024;Dasar-Dasar Pemrograman 1;DDP 1 A;Ilma Alpha Mannix, M.Kom.;Kamis, 13:00 - 14:40;Kamis;13:00 - 14:40;13:00;14:40;S1 - Sistem Informasi
446;Lab A1.03 (Ged Baru);70;47;CSGE601020;06.00.12.01-2024;Dasar-Dasar Pemrograman 1;DDP 1 A;Denny, S.Kom., M.I.T., Ph.D.;Kamis, 13:00 - 14:40;Kamis;13:00 - 14:40;13:00;14:40;S1 - Sistem Informasi
447;Lab A1.03 (Ged Baru);70;44;CSGE601020;06.00.12.01-2024;Dasar-Dasar Pemrograman 1;DDP 1 I;Ilma Alpha Mannix, M.Kom.;Kamis, 15:00 - 16:40;Kamis;15:00 - 16:40;15:00;16:40;S1 - Sistem Informasi
448;Lab A1.03 (Ged Baru);70;60;CSCM601150;01.00.12.01-2024;Pengantar Sistem Digital;PSD A;Prof. Dr. Ir. Petrus Mursanto, M.Sc., IPU;Jumat, 10:00 - 11:00;Jumat;10:00 - 11:00;10:00;11:00;S1 - Ilmu Komputer
449;Lab A1.03 (Ged Baru);70;31;CSGE602040;01.00.12.01-2024;Struktur Data & Algoritma;SDA B;LINTANG MATAHARI HASANI, S.Kom., M.Kom., Ph.D.;Jumat, 14:00 - 15:40;Jumat;14:00 - 15:40;14:00;15:40;S1 - Ilmu Komputer
450;Lab A1.03 (Ged Baru);70;11;CSGE601021;01.00.12.01-2024;Dasar-Dasar Pemrograman 2;DDP 2 B;Ilma Ainur Rohma, S.Kom., M.Kom.;Jumat, 16:00 - 17:40;Jumat;16:00 - 17:40;16:00;17:40;S1 - Ilmu Komputer
451;Lab A1.04+Lab A3.02 - Gabungan (Gd. Baru;82;20;CSIM603026;06.00.12.01-2024;Arsitektur & Pemrograman Aplikasi Perush.;APAP C;Satrio Baskoro Yudhoatmojo, S.Kom., M.T.I., Ph.D.;Senin, 08:00 - 09:40;Senin;08:00 - 09:40;08:00;09:40;S1 - Sistem Informasi
452;Lab A1.04+Lab A3.02 - Gabungan (Gd. Baru;82;20;CSIM603026;06.00.12.01-2024;Arsitektur & Pemrograman Aplikasi Perush.;APAP C;Muhammad Mishbah, S.Kom., M.Kom.;Senin, 08:00 - 09:40;Senin;08:00 - 09:40;08:00;09:40;S1 - Sistem Informasi
453;Lab A1.04+Lab A3.02 - Gabungan (Gd. Baru;82;19;CSCM603142;01.00.12.01-2024;Desain & Analisis Algoritma;DAA C;Ammar Fathin Sabili, S.Kom., Ph.D.;Selasa, 16:00 - 17:40;Selasa;16:00 - 17:40;16:00;17:40;S1 - Ilmu Komputer
454;Lab A1.04+Lab A3.02 - Gabungan (Gd. Baru;82;32;CSCM603154;01.00.12.01-2024;Jaringan Komputer;JarKom B;Made Harta Dwijaksara, S.T., M.Sc., Ph.D.;Rabu, 08:00 - 09:40;Rabu;08:00 - 09:40;08:00;09:40;S1 - Ilmu Komputer
455;Lab A1.04+Lab A3.02 - Gabungan (Gd. Baru;82;34;CSIM603154;06.00.12.01-2024;Jaringan Komunikasi dan Data;Jarkomdat B;Ibad Rahadian Saladdin, S.Kom., M.T.I.;Rabu, 10:00 - 11:40;Rabu;10:00 - 11:40;10:00;11:40;S1 - Sistem Informasi
456;Lab A1.04+Lab A3.02 - Gabungan (Gd. Baru;82;44;CSGE602022;01.00.12.01-2024;Pemrograman Berbasis Platform;PBP D;Ilma Ainur Rohma, S.Kom., M.Kom.;Rabu, 14:00 - 15:40;Rabu;14:00 - 15:40;14:00;15:40;S1 - Ilmu Komputer
457;Lab A1.04+Lab A3.02 - Gabungan (Gd. Baru;82;39;CSGE602022;01.00.12.01-2024;Pemrograman Berbasis Platform;PBP E;Daya Adianto, S.Kom., M.Kom.;Rabu, 16:00 - 17:40;Rabu;16:00 - 17:40;16:00;17:40;S1 - Ilmu Komputer
458;Lab A1.04+Lab A3.02 - Gabungan (Gd. Baru;82;47;CSGE601020;06.00.12.01-2024;Dasar-Dasar Pemrograman 1;DDP 1 D;Iis Afriyanti, S.Kom., M.Sc.;Kamis, 13:00 - 14:40;Kamis;13:00 - 14:40;13:00;14:40;S1 - Sistem Informasi
459;Lab A1.04+Lab A3.02 - Gabungan (Gd. Baru;82;39;CSGE601020;06.00.12.01-2024;Dasar-Dasar Pemrograman 1;DDP 1 H;Lulu Ilmaknun Qurotaini, M.DataSc;Kamis, 16:00 - 17:40;Kamis;16:00 - 17:40;16:00;17:40;S1 - Sistem Informasi
460;Lab A1.04+Lab A3.02 - Gabungan (Gd. Baru;82;39;CSGE601020;06.00.12.01-2024;Dasar-Dasar Pemrograman 1;DDP 1 H;Ichlasul Affan, S.Kom., M.Kom.;Kamis, 16:00 - 17:40;Kamis;16:00 - 17:40;16:00;17:40;S1 - Sistem Informasi
461;Lab A1.04+Lab A3.02 - Gabungan (Gd. Baru;82;69;CSCM601150;01.00.12.01-2024;Pengantar Sistem Digital;PSD C;Dr. Ir. Erdefi Rakun, M.Sc.;Jumat, 10:00 - 11:00;Jumat;10:00 - 11:00;10:00;11:00;S1 - Ilmu Komputer
462;Lab A1.04+Lab A3.02 - Gabungan (Gd. Baru;82;38;CSGE602040;01.00.12.01-2024;Struktur Data & Algoritma;SDA C;;Jumat, 14:00 - 15:40;Jumat;14:00 - 15:40;14:00;15:40;S1 - Ilmu Komputer
463;Lab A3.02 (Gd. Baru) --- PC 45;50;4;CSCE604151;01.00.12.01-2024;Sistem Tertanam;Sistem Tertanam;Prof. Dr. Ir. Petrus Mursanto, M.Sc., IPU;Senin, 15:00 - 16:40;Senin;15:00 - 16:40;15:00;16:40;S1 - Ilmu Komputer
464;Lab A3.02 (Gd. Baru) --- PC 45;50;9;CSGE602070;02.00.12.01-2024;Basis Data;Database;Evi Yulianti, M.Comp.Sc, M.Kom., Ph.D.;Selasa, 13:00 - 13:50;Selasa;13:00 - 13:50;13:00;13:50;S1 Kls Internasional - Ilmu Komputer
465;Lab A3.02 (Gd. Baru) --- PC 45;50;4;CSCE604151;01.00.12.01-2024;Sistem Tertanam;Sistem Tertanam;Prof. Dr. Ir. Petrus Mursanto, M.Sc., IPU;Rabu, 09:00 - 09:50;Rabu;09:00 - 09:50;09:00;09:50;S1 - Ilmu Komputer
